"Model","Coefficient","Robust_SE","T_statistic","P_value","R_squared","Adj_R_squared"
"Entertainment_Base",0.000171951825523288,3.88422178064823e-06,44.2693119069508,0,0.0165494172581143,0.016539923758783
"Entertainment_Full",-5.43791663119201e-06,3.17576456276266e-06,-1.71231730933526,0.0868382084964581,0.629475090274311,0.629439319451905
"Entertainment_Interaction",2.77658584248097e-06,3.43072798214866e-06,0.809328473994023,0.418326232074935,0.629575664294274,0.629532750130205
"Catering_Base",7.59234540974204e-05,4.03121490239099e-06,18.8338890224852,0,0.0032440609898865,0.0032344390505572
"Catering_Full",-1.48473049058107e-05,4.15644317019818e-06,-3.57211786564684,0.000354105965284734,0.467137881230975,0.467086438222106
"Catering_Interaction",-5.86660698540707e-06,4.88076397672598e-06,-1.20198538863631,0.229369189169934,0.467259086938232,0.467197368177486
