"Distance.Category","Entertainment_Mean","Entertainment_SD","Catering_Mean","Catering_SD","N"
"Short (<1000 km)",3.2405369755055,1.35591949906414,3.14701708103054,1.35083454166311,59891
"Medium (1000-3000 km)",3.45908898603864,1.30334941950365,3.25257368495276,1.30370421672135,35455
"Long (>3000 km)",3.7806741028128,1.15932433565439,3.38542677012609,1.25492739502981,8248
