"term","estimate","std.error","statistic","p.value","conf.low","conf.high","term_clean"
"Inflight.wifi.service",1.65876247303971,0.0106858629179877,47.3590041404874,0,1.62442497561809,1.69391561241028,"Inflight.wifi.service"
"Online.boarding",1.96371895357016,0.00918565520563419,73.466735424801,0,1.92874068805328,1.99945642438062,"Online.boarding"
"Leg.room.service",1.3279033350576,0.00777162391686952,36.4918917297409,1.49115363292129e-291,1.30784108328588,1.34829752235914,"Leg.room.service"
"Departure.Arrival.time.convenient",0.816751166249087,0.00713292230774261,-28.3783829199784,3.73816910940396e-177,0.805403473982276,0.828241411362505,"Departure.Arrival.time.convenient"
"Checkin.service",1.22981364938995,0.00774445335695636,26.7110722746518,3.50048784955899e-157,1.21129865264547,1.2486356155313,"Checkin.service"
"Inflight.entertainment",1.36430523432521,0.0125404391523882,24.7714860255243,1.81960590409116e-135,1.33119519669686,1.39827032186931,"Inflight.entertainment"
"On.board.service",1.24872997638859,0.00926070840012157,23.9859637438855,3.89653472510117e-127,1.22628137687334,1.27161601517216,"On.board.service"
"Ease.of.Online.booking",0.799766092077787,0.0106683868809884,-20.9437454286505,2.13960108266077e-97,0.783206764915632,0.816655266296808,"Ease.of.Online.booking"
"cabin_factorEco:distance_factorMedium-haul (1000-3000km)",0.491582694435401,0.0429835592939365,-16.5208539289529,2.59695013661103e-61,0.451810330465255,0.534729106872806,"Eco  Medium-haul (1000-3000km)"
"cabin_factorEco Plus:distance_factorMedium-haul (1000-3000km)",0.414155600302242,0.0849349709648235,-10.3786875961104,3.10007422752376e-25,0.350355800868161,0.488791785930501,"Eco Plus  Medium-haul (1000-3000km)"
"Cleanliness",1.10913170196393,0.010925137931122,9.48065455802442,2.52692944912616e-21,1.0856382563986,1.13314274273473,"Cleanliness"
"Gate.location",1.07521666167838,0.00837214438850357,8.66231919255119,4.62261826509056e-18,1.05772182551916,1.09301111089539,"Gate.location"
"Food.and.drink",0.942126686932651,0.00968127949764462,-6.15781480879866,7.37555297933342e-10,0.924407984266737,0.960164336355875,"Food.and.drink"
"Seat.comfort",1.05446551610619,0.0101457378949121,5.22722144979661,1.72076356987084e-07,1.03370233313979,1.07564275598185,"Seat.comfort"
"cabin_factorEco:distance_factorLong-haul (>3000km)",0.204764434360899,0.472977479349549,-3.35300332570934,0.000799397460188307,0.0737199468819175,0.484745356442841,"Eco  Long-haul (>3000km)"
"Baggage.handling",1.01680920986355,0.010120331982028,1.64712961748478,0.0995314065997673,0.996838638673163,1.03718014998455,"Baggage.handling"
"Inflight.service",0.987866627803733,0.0106827149146494,-1.14274157323691,0.253145903454848,0.967398935424326,1.00877046744891,"Inflight.service"
"cabin_factorEco Plus:distance_factorLong-haul (>3000km)",0.637430174981618,0.785599989407274,-0.573205885260635,0.566505300016427,0.116940749338602,2.73861569612641,"Eco Plus  Long-haul (>3000km)"
